국적?지역,성별,성별합계,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60세이상
총계,T,"431,646","12,610","10,767","8,414","16,493","54,441","70,227","59,026","47,187","43,067","36,190","29,117","20,924","23,183"
총계,M,"230,190","6,389","5,465","4,000","8,058","28,623","35,826","31,112","26,616","25,065","21,297","15,911","10,511","11,317"
총계,F,"201,456","6,221","5,302","4,414","8,435","25,818","34,401","27,914","20,571","18,002","14,893","13,206","10,413","11,866"
아시아주계,M,"165,387","2,858","3,036","2,202","4,635","16,619","24,538","22,495","20,252","20,560","17,879","13,361","8,682","8,270"
아시아주계,F,"166,000","2,827","2,948","2,515","5,690","20,769","30,037","24,637","18,126","15,699","12,948","11,470","8,906","9,428"
중국,M,"71,159","1,337","1,086",605,"2,077","7,233","10,064","8,623","7,685","8,575","8,002","7,281","5,321","3,270"
중국,F,"70,123","1,320","1,040",607,"2,059","8,652","14,036","9,419","5,763","5,465","5,555","6,396","5,745","4,066"
한국계중국인,M,"3,667",26,14,6,20,51,193,247,238,329,378,449,406,"1,310"
한국계중국인,F,"4,315",29,6,10,15,99,297,303,190,312,319,456,387,"1,892"
타이,M,"31,459",93,149,151,663,"3,522","5,800","5,779","5,367","4,565","3,208","1,408",483,271
타이,F,"33,958",106,134,208,732,"4,831","6,935","6,984","5,784","4,051","2,361","1,076",426,330
일본,M,"9,209",375,398,349,292,475,671,676,771,939,976,863,650,"1,774"
일본,F,"14,873",375,400,408,709,"1,758","2,004","1,717","1,475","1,532","1,349","1,096",729,"1,321"
홍콩,M,"4,835",212,558,274,214,358,436,427,529,627,467,364,170,199
홍콩,F,"7,258",198,529,361,464,868,838,726,797,898,614,396,229,340
몽골,M,"6,016",116,63,30,102,578,"1,234","1,041",821,802,581,347,167,134
몽골,F,"6,018",131,82,39,80,488,995,961,821,906,659,421,242,193
필리핀,M,"4,279",91,114,115,159,268,431,533,635,620,577,327,210,199
필리핀,F,"5,402",93,118,126,194,420,669,918,816,675,543,345,240,245
타이완,M,"3,031",138,136,110,101,204,515,564,424,277,198,148,90,126
타이완,F,"6,415",139,129,129,184,759,"1,333","1,338",925,496,349,237,163,234
베트남,M,"4,731",43,50,32,117,630,967,782,558,485,360,344,226,137
베트남,F,"3,985",58,65,62,174,686,706,536,291,283,324,342,258,200
인도네시아,M,"3,612",62,137,192,177,427,564,575,485,331,265,155,107,135
인도네시아,F,"2,749",49,127,198,270,334,288,322,290,261,233,153,96,128
말레이시아,M,"2,422",70,86,130,186,279,472,355,225,184,132,125,91,87
말레이시아,F,"2,944",67,91,113,255,399,659,430,260,182,141,157,86,104
우즈베키스탄,M,"3,559",75,31,14,82,651,506,567,533,498,298,162,88,54
우즈베키스탄,F,"1,168",65,37,15,48,284,133,124,124,92,75,61,49,61
싱가포르,M,"1,927",29,68,71,161,317,353,233,151,154,99,131,93,67
싱가포르,F,"2,589",49,57,92,209,549,454,285,186,191,166,144,101,106
방글라데시,M,"2,410",9,6,3,9,60,150,163,197,388,790,412,140,83
방글라데시,F,111,5,4,3,3,12,11,14,12,9,21,9,4,4
카자흐스탄,M,"1,805",31,10,10,94,502,396,241,189,140,87,49,18,38
카자흐스탄,F,651,17,13,11,39,116,120,70,64,64,47,42,12,36
파키스탄,M,"2,103",20,11,5,13,65,108,143,232,481,517,256,128,124
파키스탄,F,145,22,10,3,5,20,20,12,14,7,7,5,6,14
인도,M,"1,758",17,12,17,12,161,385,345,257,186,135,88,76,67
인도,F,358,18,13,19,11,46,70,45,38,24,13,14,23,24
스리랑카,M,"1,321",5,4,1,6,109,238,253,194,185,166,100,36,24
스리랑카,F,186,4,3,1,1,14,32,61,30,12,14,5,7,2
캄보디아,M,772,4,7,8,17,155,193,197,84,38,28,15,16,10
캄보디아,F,445,6,7,5,13,80,114,75,35,22,27,12,25,24
미얀마,M,963,4,1,2,6,131,135,108,99,143,156,96,45,37
미얀마,F,123,3,1,2,5,8,19,18,15,14,17,15,3,3
네팔,M,794,0,2,2,7,48,141,182,162,125,70,36,13,6
네팔,F,202,1,1,0,0,32,42,51,31,19,13,4,5,3
마카오,M,283,10,27,19,14,29,38,32,19,28,15,19,12,21
마카오,F,662,9,26,34,87,142,83,63,38,55,35,27,18,45
키르기스스탄,M,706,9,3,1,18,135,196,129,74,61,43,20,8,9
키르기스스탄,F,206,7,2,2,11,31,31,37,20,23,11,14,6,11
이란,M,683,1,2,1,6,5,23,38,89,192,191,82,25,28
이란,F,50,0,0,0,5,7,6,3,3,8,4,5,5,4
아랍에미리트연합,M,338,45,33,35,26,26,40,36,29,26,14,9,7,12
아랍에미리트연합,F,388,30,28,37,49,48,29,41,37,37,14,2,19,17
라오스,M,217,1,5,4,9,16,46,33,32,26,19,16,8,2
라오스,F,296,4,0,13,32,27,59,43,41,29,24,15,6,3
터키,M,329,5,3,2,7,33,61,43,54,40,32,20,16,13
터키,F,91,1,1,2,8,19,15,10,9,11,1,7,2,5
타지키스탄,M,283,0,0,0,7,61,74,53,38,27,17,3,2,1
타지키스탄,F,14,0,1,0,0,3,0,4,3,0,3,0,0,0
요르단,M,152,1,0,0,2,21,28,21,20,29,13,10,2,5
요르단,F,11,0,2,0,0,1,4,2,0,1,0,0,0,1
사우디아라비아,M,92,7,5,2,6,17,16,13,3,4,3,6,5,5
사우디아라비아,F,57,5,2,2,8,11,11,5,2,2,2,4,0,3
이라크,M,92,6,5,0,3,7,8,13,16,15,8,2,6,3
이라크,F,24,4,3,2,2,1,0,4,4,2,0,1,0,1
브루나이,M,46,0,3,3,3,5,12,3,1,3,1,5,5,2
브루나이,F,62,1,4,3,7,11,12,5,4,1,2,3,7,2
시리아,M,49,7,1,1,8,2,5,10,9,2,2,2,0,0
시리아,F,21,6,0,0,8,2,3,0,1,0,0,0,1,0
이스라엘,M,38,3,3,1,0,1,3,8,5,1,3,4,1,5
이스라엘,F,30,4,8,5,1,2,3,1,1,2,1,0,1,1
아프가니스탄,M,65,1,0,0,0,4,11,5,8,19,14,2,0,1
